City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Khash,IR,81.75,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
199,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
202,Pauini,BR,77.81,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
203,Eureka,US,79.75,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
204,Kushima,JP,75.83,light rain,31.4583,131.2333,Hanaoka
205,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
206,Luwuk,ID,77.72,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
213,Bhuj,IN,84.27,few clouds,23.2667,69.6667,Regenta Resort Bhuj
214,Ahuimanu,US,87.51,clear sky,21.4447,-157.8378,Paradise Bay Resort
221,Along,IN,73.22,overcast clouds,28.1667,94.7667,Hotel West
224,Puerto Narino,CO,76.95,heavy intensity rain,-3.7703,-70.3831,Eware Refugio Amazonico
226,Indian Head,US,78.93,clear sky,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
230,Digras,IN,81.95,overcast clouds,20.1167,77.7167,Swad Restaurant
236,Ocos,GT,86.5,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
238,Anacortes,US,78.75,haze,48.5126,-122.6127,Anaco Bay Inn
240,Conceicao Do Araguaia,BR,77.27,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
242,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
243,Clinton,US,88.12,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
244,Noumea,NC,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
245,Olot,ES,74.68,scattered clouds,42.181,2.4901,Hotel Riu Fluvià
247,Sawangan,ID,78.67,mist,-6.4028,106.7744,Taman Bumi Agung Residence
253,Berani,PK,82.49,clear sky,25.785,68.8069,Rana pervez cement dipo berani
254,Salmon Arm,CA,83.62,scattered clouds,50.6998,-119.3024,Podollan Inn Salmon Arm
256,Alofi,NU,74.41,scattered clouds,-19.0595,-169.9187,Taloa Heights
258,Poum,NC,75.13,clear sky,-20.2333,164.0167,Gîte kajeon
259,Gorontalo,ID,76.23,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
